growthp0001	growthqtlp0001	growthp0005	growthqtlp0005	growthp001	growthqtlp001	heightp0001	heightqtlp0001	heightp0005	heightqtlp0005	heightp001	heightqtlp001
SORBI_3001G053601	SORBI_3001G053601	SORBI_3001G053601	SORBI_3001G053601	SORBI_3001G053601	SORBI_3001G053601	SORBI_3001G155000	SORBI_3001G155000	SORBI_3001G155000	SORBI_3001G064200	SORBI_3001G100900	SORBI_3001G100900
SORBI_3001G080800	SORBI_3001G080800	SORBI_3001G080800	SORBI_3001G080800	SORBI_3001G056400	SORBI_3001G056400	SORBI_3001G186300	SORBI_3001G186300	SORBI_3001G176000	SORBI_3001G155000	SORBI_3001G155000	SORBI_3001G155000
SORBI_3001G182200	SORBI_3001G182200	SORBI_3001G182200	SORBI_3001G182200	SORBI_3001G080800	SORBI_3001G080800	SORBI_3001G194200	SORBI_3001G194200	SORBI_3001G194100	SORBI_3001G186300	SORBI_3001G194100	SORBI_3001G186300
SORBI_3001G185900	SORBI_3001G185900	SORBI_3001G243666	SORBI_3001G185900	SORBI_3001G182200	SORBI_3001G182200	SORBI_3001G215700	SORBI_3001G215700	SORBI_3001G194200	SORBI_3001G194100	SORBI_3001G204601	SORBI_3001G187400
SORBI_3001G243666	SORBI_3001G243666	SORBI_3001G257200	SORBI_3001G186401	SORBI_3001G193000	SORBI_3001G182500	SORBI_3001G221750	SORBI_3001G221750	SORBI_3001G204601	SORBI_3001G194200	SORBI_3001G214300	SORBI_3001G194100
SORBI_3001G254800	SORBI_3001G251900	SORBI_3001G261200	SORBI_3001G205100	SORBI_3001G214300	SORBI_3001G193000	SORBI_3001G235800	SORBI_3001G235800	SORBI_3001G215700	SORBI_3001G204601	SORBI_3001G215700	SORBI_3001G196200
SORBI_3001G272300	SORBI_3001G252000	SORBI_3001G263801	SORBI_3001G227800	SORBI_3001G218900	SORBI_3001G207600	SORBI_3001G237400	SORBI_3001G237400	SORBI_3001G221750	SORBI_3001G215700	SORBI_3001G221400	SORBI_3001G204601
SORBI_3001G279701	SORBI_3001G254800	SORBI_3001G279701	SORBI_3001G243666	SORBI_3001G223100	SORBI_3001G211500	SORBI_3001G256300	SORBI_3001G237800	SORBI_3001G229500	SORBI_3001G221750	SORBI_3001G221750	SORBI_3001G214300
SORBI_3001G279900	SORBI_3001G263300	SORBI_3001G279900	SORBI_3001G251900	SORBI_3001G237600	SORBI_3001G214300	SORBI_3001G257100	SORBI_3001G253300	SORBI_3001G235800	SORBI_3001G229500	SORBI_3001G221900	SORBI_3001G215700
SORBI_3001G331200	SORBI_3001G331200	SORBI_3001G297000	SORBI_3001G257200	SORBI_3001G243666	SORBI_3001G218900	SORBI_3001G259500	SORBI_3001G254400	SORBI_3001G237400	SORBI_3001G234300	SORBI_3001G229500	SORBI_3001G221400
