phenotype	p value	Filter	GO Category	GO Annotation	Sorghum bicolor - REFLIST (33714)	upload_1 (460)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
growth	p001	QTL	BP	cellular component organization or biogenesis (GO:0071840)	2254	6	22.4	-	0.27	5.77E-05	1.37E-02
height	p0005	QTL	BP	cellular metabolic process (GO:0044237)	7874	126	169.79	-	0.74	1.09E-04	1.99E-02
height	p0005	QTL	BP	metabolic process (GO:0008152)	9765	164	210.57	-	0.78	1.37E-04	2.32E-02
growth	p001		MF	mRNA binding (GO:0003729)	651	25	8.88	+	2.81	6.53E-06	5.50E-03
height	p0001		MF	mRNA binding (GO:0003729)	651	22	8.34	+	2.64	5.76E-05	3.64E-02
height	p0005	QTL	MF	mRNA binding (GO:0003729)	651	39	14.04	+	2.78	3.57E-08	3.01E-05
height	p0005		MF	mRNA binding (GO:0003729)	651	36	13.98	+	2.58	1.06E-06	8.92E-04
height	p001	QTL	MF	mRNA binding (GO:0003729)	651	46	15.64	+	2.94	4.38E-10	3.69E-07
height	p001		MF	mRNA binding (GO:0003729)	651	50	17.57	+	2.85	2.58E-10	2.17E-07
height	p0005	QTL	BP	nitrogen compound metabolic process (GO:0006807)	6913	108	149.07	-	0.72	1.32E-04	2.32E-02
height	p0005		BP	nitrogen compound metabolic process (GO:0006807)	6913	107	148.46	-	0.72	1.05E-04	2.39E-02
height	p0005	QTL	BP	organic substance metabolic process (GO:0071704)	8967	150	193.36	-	0.78	2.53E-04	3.88E-02
growth	p0005	QTL	BP	positive regulation of biological process (GO:0048518)	872	20	6.8	+	2.94	2.42E-05	8.22E-03
growth	p001	QTL	BP	positive regulation of biological process (GO:0048518)	872	25	8.66	+	2.89	3.64E-06	1.02E-03
growth	p001		BP	positive regulation of biological process (GO:0048518)	872	32	11.9	+	2.69	8.57E-07	2.54E-04
height	p0001	QTL	BP	positive regulation of biological process (GO:0048518)	872	27	10.71	+	2.52	1.78E-05	4.70E-03
height	p0001		BP	positive regulation of biological process (GO:0048518)	872	29	11.17	+	2.6	5.26E-06	1.47E-03
height	p0005	QTL	BP	positive regulation of biological process (GO:0048518)	872	50	18.8	+	2.66	1.64E-09	4.09E-07
height	p0005		BP	positive regulation of biological process (GO:0048518)	872	50	18.73	+	2.67	1.43E-09	3.40E-07
height	p001	QTL	BP	positive regulation of biological process (GO:0048518)	872	59	20.95	+	2.82	7.33E-12	1.83E-09
height	p001		BP	positive regulation of biological process (GO:0048518)	872	66	23.54	+	2.8	5.99E-13	1.50E-10
growth	p0005	QTL	BP	positive regulation of biosynthetic process (GO:0009891)	575	16	4.49	+	3.57	1.74E-05	6.89E-03
growth	p0005		BP	positive regulation of biosynthetic process (GO:0009891)	575	17	4.91	+	3.46	1.43E-05	7.57E-03
growth	p001	QTL	BP	positive regulation of biosynthetic process (GO:0009891)	575	21	5.71	+	3.68	6.03E-07	2.20E-04
growth	p001		BP	positive regulation of biosynthetic process (GO:0009891)	575	28	7.85	+	3.57	1.84E-08	6.71E-06
height	p0001	QTL	BP	positive regulation of biosynthetic process (GO:0009891)	575	21	7.06	+	2.97	1.57E-05	4.39E-03
height	p0001		BP	positive regulation of biosynthetic process (GO:0009891)	575	23	7.37	+	3.12	2.96E-06	1.00E-03
height	p0005	QTL	BP	positive regulation of biosynthetic process (GO:0009891)	575	43	12.4	+	3.47	1.18E-11	4.30E-09
height	p0005		BP	positive regulation of biosynthetic process (GO:0009891)	575	42	12.35	+	3.4	3.60E-11	1.32E-08
height	p001	QTL	BP	positive regulation of biosynthetic process (GO:0009891)	575	51	13.81	+	3.69	1.78E-14	7.69E-12
height	p001		BP	positive regulation of biosynthetic process (GO:0009891)	575	56	15.52	+	3.61	2.87E-15	1.13E-12
growth	p0005	QTL	BP	positive regulation of cellular amide metabolic process (GO:0034250)	233	11	1.82	+	6.05	3.61E-06	2.45E-03
growth	p0005		BP	positive regulation of cellular amide metabolic process (GO:0034250)	233	13	1.99	+	6.53	2.14E-07	2.54E-04
growth	p001	QTL	BP	positive regulation of cellular amide metabolic process (GO:0034250)	233	17	2.32	+	7.34	6.00E-10	7.12E-07
growth	p001		BP	positive regulation of cellular amide metabolic process (GO:0034250)	233	23	3.18	+	7.23	1.03E-12	1.23E-09
height	p0001	QTL	BP	positive regulation of cellular amide metabolic process (GO:0034250)	233	18	2.86	+	6.29	2.23E-09	2.11E-06
height	p0001		BP	positive regulation of cellular amide metabolic process (GO:0034250)	233	21	2.99	+	7.03	1.54E-11	1.46E-08
height	p0005	QTL	BP	positive regulation of cellular amide metabolic process (GO:0034250)	233	35	5.02	+	6.97	9.19E-18	1.09E-14
height	p0005		BP	positive regulation of cellular amide metabolic process (GO:0034250)	233	33	5	+	6.6	3.33E-16	3.96E-13
height	p001	QTL	BP	positive regulation of cellular amide metabolic process (GO:0034250)	233	41	5.6	+	7.32	3.73E-21	1.77E-17
height	p001		BP	positive regulation of cellular amide metabolic process (GO:0034250)	233	46	6.29	+	7.31	2.27E-23	1.08E-19
growth	p0005	QTL	BP	positive regulation of cellular biosynthetic process (GO:0031328)	572	16	4.46	+	3.59	1.63E-05	7.06E-03
growth	p0005		BP	positive regulation of cellular biosynthetic process (GO:0031328)	572	17	4.89	+	3.48	1.34E-05	7.98E-03
growth	p001	QTL	BP	positive regulation of cellular biosynthetic process (GO:0031328)	572	21	5.68	+	3.69	5.56E-07	2.20E-04
growth	p001		BP	positive regulation of cellular biosynthetic process (GO:0031328)	572	28	7.8	+	3.59	1.65E-08	6.54E-06
height	p0001	QTL	BP	positive regulation of cellular biosynthetic process (GO:0031328)	572	21	7.02	+	2.99	1.46E-05	4.32E-03
height	p0001		BP	positive regulation of cellular biosynthetic process (GO:0031328)	572	23	7.33	+	3.14	2.72E-06	9.95E-04
height	p0005	QTL	BP	positive regulation of cellular biosynthetic process (GO:0031328)	572	43	12.33	+	3.49	1.01E-11	3.98E-09
height	p0005		BP	positive regulation of cellular biosynthetic process (GO:0031328)	572	42	12.28	+	3.42	3.09E-11	1.22E-08
height	p001	QTL	BP	positive regulation of cellular biosynthetic process (GO:0031328)	572	51	13.74	+	3.71	1.47E-14	7.00E-12
height	p001		BP	positive regulation of cellular biosynthetic process (GO:0031328)	572	56	15.44	+	3.63	2.34E-15	1.01E-12
growth	p0005	QTL	BP	positive regulation of cellular metabolic process (GO:0031325)	711	17	5.55	+	3.07	6.07E-05	1.80E-02
growth	p001	QTL	BP	positive regulation of cellular metabolic process (GO:0031325)	711	23	7.06	+	3.26	1.31E-06	4.45E-04
growth	p001		BP	positive regulation of cellular metabolic process (GO:0031325)	711	29	9.7	+	2.99	3.72E-07	1.26E-04
height	p0001	QTL	BP	positive regulation of cellular metabolic process (GO:0031325)	711	25	8.73	+	2.86	4.65E-06	2.01E-03
height	p0001		BP	positive regulation of cellular metabolic process (GO:0031325)	711	26	9.11	+	2.85	3.25E-06	1.03E-03
height	p0005	QTL	BP	positive regulation of cellular metabolic process (GO:0031325)	711	48	15.33	+	3.13	2.13E-11	7.21E-09
height	p0005		BP	positive regulation of cellular metabolic process (GO:0031325)	711	46	15.27	+	3.01	1.83E-10	6.19E-08
height	p001	QTL	BP	positive regulation of cellular metabolic process (GO:0031325)	711	56	17.08	+	3.28	9.12E-14	3.33E-11
height	p001		BP	positive regulation of cellular metabolic process (GO:0031325)	711	62	19.19	+	3.23	9.83E-15	3.34E-12
growth	p0005	QTL	BP	positive regulation of cellular process (GO:0048522)	768	18	5.99	+	3	4.74E-05	1.50E-02
growth	p001	QTL	BP	positive regulation of cellular process (GO:0048522)	768	24	7.63	+	3.14	1.38E-06	4.37E-04
growth	p001		BP	positive regulation of cellular process (GO:0048522)	768	30	10.48	+	2.86	5.56E-07	1.76E-04
height	p0001	QTL	BP	positive regulation of cellular process (GO:0048522)	768	26	9.43	+	2.76	5.75E-06	2.28E-03
height	p0001		BP	positive regulation of cellular process (GO:0048522)	768	27	9.84	+	2.74	4.24E-06	1.26E-03
height	p0005	QTL	BP	positive regulation of cellular process (GO:0048522)	768	49	16.56	+	2.96	8.27E-11	2.62E-08
height	p0005		BP	positive regulation of cellular process (GO:0048522)	768	48	16.49	+	2.91	2.17E-10	6.86E-08
height	p001	QTL	BP	positive regulation of cellular process (GO:0048522)	768	58	18.45	+	3.14	1.69E-13	5.34E-11
height	p001		BP	positive regulation of cellular process (GO:0048522)	768	64	20.73	+	3.09	2.50E-14	7.91E-12
growth	p0005	QTL	BP	positive regulation of cytoplasmic translation (GO:2000767)	214	11	1.67	+	6.59	1.65E-06	3.92E-03
growth	p0005		BP	positive regulation of cytoplasmic translation (GO:2000767)	214	13	1.83	+	7.11	8.44E-08	4.01E-04
growth	p001	QTL	BP	positive regulation of cytoplasmic translation (GO:2000767)	214	17	2.13	+	7.99	1.77E-10	8.39E-07
growth	p001		BP	positive regulation of cytoplasmic translation (GO:2000767)	214	23	2.92	+	7.88	2.04E-13	9.68E-10
height	p0001	QTL	BP	positive regulation of cytoplasmic translation (GO:2000767)	214	18	2.63	+	6.85	6.32E-10	3.00E-06
height	p0001		BP	positive regulation of cytoplasmic translation (GO:2000767)	214	21	2.74	+	7.66	3.49E-12	1.66E-08
height	p0005	QTL	BP	positive regulation of cytoplasmic translation (GO:2000767)	214	35	4.61	+	7.58	8.48E-19	4.03E-15
height	p0005		BP	positive regulation of cytoplasmic translation (GO:2000767)	214	33	4.6	+	7.18	3.56E-17	1.69E-13
